Klasse,Nachname,Vorname,Projekt zugeteilt,Projekt1,Projekt2,Projekt3,Projekt4
11,Name249,Vorname249,17,41,15,17,35
11,Name250,Vorname250,17,41,15,17,35
11,Name251,Vorname251,17,41,15,30,17
11,Name252,Vorname252,17,41,15,17,35
11,Name267,Vorname267,18,41,18,42,5
11,Name268,Vorname268,18,23,18,39,44
11,Name269,Vorname269,18,42,41,5,18
11,Name275,Vorname275,19,19,35,15,39
11,Name287,Vorname287,20,20,23,15,34
11,Name288,Vorname288,20,20,13,41,23
11,Name310,Vorname310,22,22,31,30,23
11,Name311,Vorname311,22,22,31,30,23
11,Name312,Vorname312,22,23,22,31,41
11,Name313,Vorname313,22,23,22,31,41
11,Name314,Vorname314,22,23,15,28,22
11,Name464,Vorname464,34,15,34,9,13
11,Name465,Vorname465,34,34,41,23,44
11,Name466,Vorname466,34,34,41,2,23
11,Name467,Vorname467,34,34,15,23,35
11,Name468,Vorname468,34,34,15,19,41
11,Name495,Vorname495,37,37,5,23,30
11,Name496,Vorname496,37,44,37,43,2
11,Name497,Vorname497,37,7,37,32,30
11,Name498,Vorname498,37,19,37,15,1
11,Name499,Vorname499,37,7,37,39,27
11,Name511,Vorname511,39,23,39,37,13
11,Name512,Vorname512,39,39,23,28,44
11,Name513,Vorname513,39,39,43,23,5
11,Name514,Vorname514,39,39,23,28,44
11,Name515,Vorname515,39,39,23,28,44
11,Name516,Vorname516,39,39,33,41,43
11,Name517,Vorname517,39,39,43,23,28
11,Name540,Vorname540,41,41,30,42,23
11,Name541,Vorname541,41,41,30,23,42
11,Name542,Vorname542,41,41,20,30,39
11,Name555,Vorname555,42,42,30,41,7
11,Name556,Vorname556,42,42,41,7,23
11,Name557,Vorname557,42,42,5,7,23
11,Name558,Vorname558,42,42,5,41,23
11,Name559,Vorname559,42,42,41,5,23
11,Name560,Vorname560,42,42,30,41,7
11,Name561,Vorname561,42,42,41,7,30
11,Name562,Vorname562,42,42,5,41,18
11,Name563,Vorname563,42,42,7,41,23
11,Name564,Vorname564,42,42,5,41,23
11,Name565,Vorname565,42,42,41,5,23
11,Name566,Vorname566,42,42,7,28,5
11,Name567,Vorname567,42,42,5,7,30
11,Name568,Vorname568,42,42,7,5,30
11,Name572,Vorname572,43,43,8,39,34
11,Name576,Vorname576,39,44,39,23,34
11,Name577,Vorname577,1,30,44,23,1
11,Name578,Vorname578,43,44,42,30,43
11,Name580,Vorname580,B,k,k,k,k
11,Name581,Vorname581,B,k,k,k,k
11,Name582,Vorname582,B,k,k,k,k
11,Name583,Vorname583,B,k,k,k,k
11,Name584,Vorname584,B,k,k,k,k
11,Name585,Vorname585,B,k,k,k,k
11,Name586,Vorname586,B,k,k,k,k
11,Name587,Vorname587,B,k,k,k,k
11,Name588,Vorname588,B,k,k,k,k
11,Name589,Vorname589,B,k,k,k,k
11,Name590,Vorname590,B,k,k,k,k
11,Name591,Vorname591,B,k,k,k,k
11,Name592,Vorname592,B,k,k,k,k
11,Name593,Vorname593,B,k,k,k,k
11,Name594,Vorname594,B,k,k,k,k
11,Name595,Vorname595,B,k,k,k,k
11,Name596,Vorname596,B,k,k,k,k
11,Name597,Vorname597,B,k,k,k,k
11,Name598,Vorname598,B,k,k,k,k
11,Name599,Vorname599,B,k,k,k,k
11,Name600,Vorname600,B,k,k,k,k
11,Name601,Vorname601,B,k,k,k,k
11,Name602,Vorname602,B,k,k,k,k
11,Name603,Vorname603,B,k,k,k,k
11,Name604,Vorname604,B,k,k,k,k
11,Name605,Vorname605,B,k,k,k,k
11,Name606,Vorname606,B,k,k,k,k
11,Name607,Vorname607,B,k,k,k,k
11,Name608,Vorname608,B,k,k,k,k
11,Name609,Vorname609,B,k,k,k,k
11,Name610,Vorname610,B,k,k,k,k
12,Name611,Vorname611,B,k,k,k,k
12,Name612,Vorname612,B,k,k,k,k
12,Name613,Vorname613,B,k,k,k,k
12,Name614,Vorname614,B,k,k,k,k
12,Name615,Vorname615,B,k,k,k,k
12,Name616,Vorname616,B,k,k,k,k
12,Name695,Vorname695,X3,k,k,k,k
12,Name696,Vorname696,X3,k,k,k,k
12,Name697,Vorname697,X3,k,k,k,k
12,Name698,Vorname698,X3,k,k,k,k
12,Name699,Vorname699,X3,k,k,k,k
12,Name700,Vorname700,X3,k,k,k,k
12,Name701,Vorname701,X3,k,k,k,k
12,Name702,Vorname702,X3,k,k,k,k
12,Name703,Vorname703,X3,k,k,k,k
12,Name704,Vorname704,X3,k,k,k,k
12,Name705,Vorname705,X3,k,k,k,k
12,Name706,Vorname706,X3,k,k,k,k
12,Name707,Vorname707,X3,k,k,k,k
12,Name708,Vorname708,X3,k,k,k,k
12,Name709,Vorname709,X3,k,k,k,k
12,Name710,Vorname710,X3,k,k,k,k
12,Name711,Vorname711,X3,k,k,k,k
12,Name712,Vorname712,X3,k,k,k,k
12,Name713,Vorname713,X3,k,k,k,k
12,Name714,Vorname714,X3,k,k,k,k
12,Name715,Vorname715,X3,k,k,k,k
12,Name716,Vorname716,X3,k,k,k,k
12,Name717,Vorname717,X3,k,k,k,k
12,Name718,Vorname718,X3,k,k,k,k
12,Name719,Vorname719,X3,k,k,k,k
12,Name720,Vorname720,X3,k,k,k,k
12,Name721,Vorname721,X3,k,k,k,k
12,Name722,Vorname722,X3,k,k,k,k
12,Name723,Vorname723,X3,k,k,k,k
12,Name724,Vorname724,X3,k,k,k,k
12,Name725,Vorname725,X3,k,k,k,k
12,Name726,Vorname726,X3,k,k,k,k
12,Name727,Vorname727,X3,k,k,k,k
12,Name728,Vorname728,X3,k,k,k,k
12,Name729,Vorname729,X3,k,k,k,k
12,Name730,Vorname730,X3,k,k,k,k
12,Name731,Vorname731,X3,k,k,k,k
12,Name732,Vorname732,X3,k,k,k,k
12,Name733,Vorname733,X3,k,k,k,k
12,Name734,Vorname734,X3,k,k,k,k
12,Name735,Vorname735,X3,k,k,k,k
12,Name736,Vorname736,X3,k,k,k,k
12,Name737,Vorname737,X3,k,k,k,k
12,Name738,Vorname738,X3,k,k,k,k
12,Name739,Vorname739,X3,k,k,k,k
12,Name740,Vorname740,X3,k,k,k,k
12,Name741,Vorname741,X3,k,k,k,k
12,Name742,Vorname742,X3,k,k,k,k
12,Name743,Vorname743,X3,k,k,k,k
12,Name744,Vorname744,X3,k,k,k,k
12,Name745,Vorname745,X3,k,k,k,k
12,Name746,Vorname746,X3,k,k,k,k
12,Name747,Vorname747,X3,k,k,k,k
12,Name748,Vorname748,X3,k,k,k,k
12,Name749,Vorname749,X3,k,k,k,k
12,Name750,Vorname750,X3,k,k,k,k
12,Name751,Vorname751,X3,k,k,k,k
12,Name752,Vorname752,X3,k,k,k,k
12,Name753,Vorname753,X3,k,k,k,k
12,Name754,Vorname754,X3,k,k,k,k
12,Name755,Vorname755,X3,k,k,k,k
12,Name756,Vorname756,X3,k,k,k,k
12,Name757,Vorname757,X3,k,k,k,k
12,Name758,Vorname758,X3,k,k,k,k
12,Name759,Vorname759,X3,k,k,k,k
12,Name760,Vorname760,X3,k,k,k,k
12,Name761,Vorname761,X3,k,k,k,k
12,Name762,Vorname762,X3,k,k,k,k
12,Name763,Vorname763,X3,k,k,k,k
12,Name764,Vorname764,X3,k,k,k,k
12,Name765,Vorname765,X3,k,k,k,k
12,Name766,Vorname766,X3,k,k,k,k
12,Name767,Vorname767,X3,k,k,k,k
12,Name768,Vorname768,X3,k,k,k,k
12,Name769,Vorname769,X3,k,k,k,k
12,Name770,Vorname770,X3,k,k,k,k
12,Name771,Vorname771,X3,k,k,k,k
12,Name772,Vorname772,X3,k,k,k,k
12,Name773,Vorname773,X3,k,k,k,k
12,Name774,Vorname774,X3,k,k,k,k
Ausland,Name617,Vorname617,k,k,k,k,k
Ausland,Name618,Vorname618,k,k,k,k,k
Ausland,Name619,Vorname619,k,k,k,k,k
Ausland,Name620,Vorname620,k,k,k,k,k
Austausch,Name019,Vorname019,1,30,1,23,7
