Klasse, Name, Vorname, Projekt Nr., Wunsch
07a,Name453,Vorname453,33,4
07a,Name454,Vorname454,33,4
07a,Name455,Vorname455,33,4
07a,Name531,Vorname531,41,1
07a,Name532,Vorname532,41,1
07a,Name533,Vorname533,6,3
07b,Name007,Vorname007,1,4
07b,Name008,Vorname008,1,3
07b,Name039,Vorname039,2,1
07b,Name102,Vorname102,6,1
07b,Name158,Vorname158,10,2
07b,Name179,Vorname179,11,3
07b,Name180,Vorname180,11,1
07b,Name181,Vorname181,11,1
07b,Name200,Vorname200,13,1
07b,Name327,Vorname327,30,2
07b,Name328,Vorname328,null,null
07b,Name329,Vorname329,null,null
07b,Name369,Vorname369,28,1
07b,Name370,Vorname370,40,1
07b,Name371,Vorname371,28,1
07b,Name372,Vorname372,6,3
07b,Name393,Vorname393,null,null
07b,Name442,Vorname442,null,null
07b,Name524,Vorname524,40,1
07b,Name525,Vorname525,41,2
07b,Name534,Vorname534,28,2
07b,Name535,Vorname535,41,1
07b,Name536,Vorname536,41,1
07b,Name537,Vorname537,28,2
07c,Name040,Vorname040,21,4
07c,Name103,Vorname103,6,2
07c,Name104,Vorname104,6,2
07c,Name105,Vorname105,6,2
07c,Name140,Vorname140,9,3
07c,Name143,Vorname143,9,3
07c,Name185,Vorname185,10,3
07c,Name330,Vorname330,36,3
07c,Name331,Vorname331,null,null
07c,Name332,Vorname332,23,1
07c,Name333,Vorname333,null,null
07c,Name334,Vorname334,23,1
07c,Name335,Vorname335,36,3
07c,Name336,Vorname336,null,null
07c,Name337,Vorname337,23,1
07c,Name373,Vorname373,23,1
07c,Name374,Vorname374,23,1
07c,Name375,Vorname375,28,2
07c,Name443,Vorname443,39,1
07c,Name444,Vorname444,35,2
07d,Name159,Vorname159,10,1
07d,Name160,Vorname160,10,1
07d,Name161,Vorname161,10,1
07d,Name162,Vorname162,10,1
07d,Name201,Vorname201,13,2
07d,Name202,Vorname202,13,3
07d,Name219,Vorname219,12,1
07d,Name253,Vorname253,18,4
07d,Name254,Vorname254,18,4
07d,Name255,Vorname255,18,4
07d,Name256,Vorname256,18,4
07d,Name277,Vorname277,20,1
07d,Name278,Vorname278,20,1
07d,Name356,Vorname356,26,2
07d,Name357,Vorname357,23,1
07d,Name358,Vorname358,40,1
07d,Name359,Vorname359,23,1
07d,Name360,Vorname360,40,2
07d,Name361,Vorname361,23,1
07d,Name362,Vorname362,23,1
07d,Name363,Vorname363,26,2
07d,Name364,Vorname364,26,2
07d,Name365,Vorname365,26,2
07d,Name376,Vorname376,28,1
07d,Name377,Vorname377,28,1
07d,Name378,Vorname378,28,1
07d,Name394,Vorname394,30,1
07d,Name508,Vorname508,null,null
07d,Name526,Vorname526,40,1
08a,Name120,Vorname120,8,2
08a,Name121,Vorname121,8,2
08a,Name144,Vorname144,27,4
08a,Name193,Vorname193,21,3
08a,Name220,Vorname220,15,3
08a,Name221,Vorname221,15,3
